id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
viviendas_vacias_viviendas_total_avg,Media para Presión de la vivienda vacía,Media para Presión de la vivienda vacía,media,535,avg(viviendas_vacias_viviendas_total),,porcentaje_2,,f,f,f,f
viviendas_esporadicas_viviendas_total_avg,Media para Presión de la vivienda ocasional,Media para Presión de la vivienda ocasional,media,540,avg(viviendas_esporadicas_viviendas_total),,porcentaje_2,,f,f,f,f
viviendas_habituales_viviendas_total_avg,Media para Disponibilidad de viviendas habituales,Media para Disponibilidad de viviendas habituales,media,545,avg(viviendas_habituales_viviendas_total),,porcentaje_2,,f,f,f,f
plazas_vacacionales_plazas_total_porc_avg,Media para Peso de la oferta vacacional,Media para Peso de la oferta vacacional,media,550,avg(plazas_vacacionales_plazas_total_porc),,porcentaje_2,,f,f,f,f
plazas_regladas_plazas_total_porc_avg,Media para Peso de la oferta reglada,Media para Peso de la oferta reglada,media,555,avg(plazas_regladas_plazas_total_porc),,porcentaje_2,,f,f,f,f
rit_km2_presion_humana_km2_avg,Media para Peso de la población turística equivalente en la presión humana,Media para Peso de la población turística equivalente en la presión humana,media,560,avg(rit_km2_presion_humana_km2),,porcentaje_2,,f,f,f,f
residentes_km2_presion_humana_km2_avg,Media para Peso de la población residente en la presión humana,Media para Peso de la población residente en la presión humana,media,565,avg(residentes_km2_presion_humana_km2),,porcentaje_2,,f,f,f,f
plazas_at_residenciales_oferta_en_residencial_avg,Media para Peso de la oferta reglada en zonas residenciales,Media para Peso de la oferta reglada en zonas residenciales,media,570,avg(plazas_at_residenciales_oferta_en_residencial),,porcentaje_2,,f,f,f,f
plazas_vv_residenciales_oferta_en_residencial_avg,Media para Peso de la oferta vacacional en zonas turísticas,Media para Peso de la oferta vacacional en zonas turísticas,media,575,avg(plazas_vv_residenciales_oferta_en_residencial),,porcentaje_2,,f,f,f,f
plazas_suelo_residencial_porc_avg,Media para Desplazamiento de la actividad turística a zonas residenciales,Media para Desplazamiento de la actividad turística a zonas residenciales,media,580,avg(plazas_suelo_residencial_porc),,porcentaje_2,,f,f,f,f
plazas_suelo_turistico_porc_avg,Media para Actividad turística en zonas turísticas,Media para Actividad turística en zonas turísticas,media,585,avg(plazas_suelo_turistico_porc),,porcentaje_2,,f,f,f,f
hogares_0_porc,% hogares sin núcleo,Porcentaje de hogares sin núcleo familiar sobre el total de hogares,porcentaje,590,hogares_0 / hogares_total * 100,,porcentaje_2,%,t,t,t,f
hogares_1_porc,% hogares un núcleo,Porcentaje de hogares con un único núcleo familiar sobre el total de hogares,porcentaje,595,hogares_1 / hogares_total * 100,,porcentaje_2,%,t,t,t,f
hogares_2_porc,% hogares dos núcleos,Porcentaje de hogares con dos núcleos familiares sobre el total de hogares,porcentaje,600,hogares_2 / hogares_total * 100,,porcentaje_2,%,t,t,t,f
hogares_3_porc,% hogares tres o más núcleos,Porcentaje de hogares con tres o más núcleos familiares sobre el total de hogares,porcentaje,605,hogares_3 / hogares_total * 100,,porcentaje_2,%,t,t,t,f
deficit_teorico_viviendas,Déficit teórico de viviendas (núcleos),"Estimación teórica mínima del déficit de viviendas derivado de hogares plurinucleares: hogares_2 + hogares_3 * 2. Teórico porque no toda plurinuclearidad implica necesidad de vivienda adicional (decisiones de vida, cuidado de mayores, etc.)",ratio,610,hogares_2 + hogares_3 * 2,,entero,viviendas,t,t,t,f
deficit_teorico_viviendas_porc,% déficit teórico sobre hogares,Déficit teórico de viviendas expresado como porcentaje sobre el total de hogares del territorio,porcentaje,612,deficit_teorico_viviendas / hogares_total * 100,,porcentaje_2,%,t,t,t,f
hogares_total_max,Máx. total hogares,Valor máximo de hogares_total en el grupo de referencia,maximo,615,max(hogares_total),,entero,hogares,f,f,f,f
hogares_0_max,Máx. hogares sin núcleo,Valor máximo de hogares_0 en el grupo de referencia,maximo,620,max(hogares_0),,entero,hogares,f,f,f,f
hogares_1_max,Máx. hogares un núcleo,Valor máximo de hogares_1 en el grupo de referencia,maximo,625,max(hogares_1),,entero,hogares,f,f,f,f
hogares_2_max,Máx. hogares dos núcleos,Valor máximo de hogares_2 en el grupo de referencia,maximo,630,max(hogares_2),,entero,hogares,f,f,f,f
hogares_3_max,Máx. hogares tres o más núcleos,Valor máximo de hogares_3 en el grupo de referencia,maximo,635,max(hogares_3),,entero,hogares,f,f,f,f
hogares_0_porc_max,Máx. % hogares sin núcleo,Valor máximo de hogares_0_porc en el grupo de referencia,maximo,640,max(hogares_0_porc),,porcentaje_2,%,f,f,f,f
hogares_1_porc_max,Máx. % hogares un núcleo,Valor máximo de hogares_1_porc en el grupo de referencia,maximo,645,max(hogares_1_porc),,porcentaje_2,%,f,f,f,f
hogares_2_porc_max,Máx. % hogares dos núcleos,Valor máximo de hogares_2_porc en el grupo de referencia,maximo,650,max(hogares_2_porc),,porcentaje_2,%,f,f,f,f
hogares_3_porc_max,Máx. % hogares tres o más,Valor máximo de hogares_3_porc en el grupo de referencia,maximo,655,max(hogares_3_porc),,porcentaje_2,%,f,f,f,f
deficit_teorico_viviendas_max,Máx. déficit teórico viviendas,Valor máximo de deficit_teorico_viviendas en el grupo de referencia,maximo,660,max(deficit_teorico_viviendas),,entero,viviendas,f,f,f,f
deficit_teorico_viviendas_porc_max,Máx. % déficit teórico sobre hogares,Valor máximo de deficit_teorico_viviendas_porc en el grupo de referencia,maximo,662,max(deficit_teorico_viviendas_porc),,porcentaje_2,%,f,f,f,f
hogares_total_avg,Media total hogares,Valor medio de hogares_total en el grupo de referencia,media,665,avg(hogares_total),,entero,hogares,f,f,f,f
hogares_0_avg,Media hogares sin núcleo,Valor medio de hogares_0 en el grupo de referencia,media,670,avg(hogares_0),,entero,hogares,f,f,f,f
